"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","621","Homepage loads with code 200","","2025-12-21","passed","2025-12-21","","tests/ui.spec.ts","",""
"","861","Homepage contain subtext","","2025-12-21","passed","2025-12-21","","tests/check_subtext.test.ts","",""
"","834","Homepage loads","","2025-12-21","passed","2025-12-21","","tests/ui.spec.ts","",""
